Unnamed: 0,title,text,latitude,longitude,city_text,date_posted,date_updated,price,deleted,sqft,bedrooms,bathrooms,pets,laundry,parking,craigslist,place,city,state,county,neighborhood
18971,"$4745 / 2br - 1/2 Month Free - Beautifully Remodeled 2 BD, W/D in Unit, Prime Location! ","QR Code Link to This Post
            
        
THE LOCATION
=================================================================
Experience the epitome of urban living in this completely remodeled 2BR apartment located in the heart of Cow Hollow District, one of San Francisco's prime neighborhoods with numerous cafes, restaurants, bars, boutique shopping and with easy access to Muni.
The unit boasts plenty of closet space, a modern kitchen with brand new tall cabinetry, brand new bathroom with a shower, stunning hardwood flooring thought out the unit. Spacious Living Room has an open layout. From the comforts of your new home to the excitement of city life, you'll get it all in this apartment.
THE APARTMENT
=================================================================
-Brand New Kitchen with stainless steel appliances: 
-Dishwasher
-Built-in microwave
-Stove/oven
-Refrigerator 
-Tall cabinets
-Beautiful Bathroom w/Shower
-Hardwood flooring throughout the unit.
-Great Closet Space
-Naturally Lighting
-Washer/Dryer in Unit
-New Reset Lighting
-Big Open Concept Living Room
-Pet Friendly
THE CONTACT
=================================================================
Elena Hamner | Leasing Agent
T:  show contact info

Email:  show contact info

Text or Email to schedule a viewing appointment
Ask me about our other studios, 1 and 2 bedrooms around the city
LEASE TERMS 
=================================================================
-Lease: 1 Year 
-Income: 2x Rent 
-Deposit: 1x Rent, 2x w/Guarantor 
-Utilities: None Included 
-Pets: $500 Pet Deposit, $75/m Dog, $50/m Cat
-Proof of Income: Bank Statement, 2 Pay Stubs or Offer Letter
=================================================================
*Ask about our Security Deposit Alternative 
-Instead of doing a Security Deposit purchase a Non-Refundable Deposit IQ Bond
-Pay 27%-55% of Rent
-Deposit IQ Bond is Non-Refundable!!
=================================================================
**APPLICATION LINK ($35): https://www.on-site.com/apply/company/39428
*We do business in accordance with the Federal Fair Housing Law*
CaBRE #01341448",37.798594,-122.43191999999999,marina / cow hollow,2018-09-26 11:57:00,2018-10-14 15:35:20,4745.0,False,,2.0,1.0,both,in-unit,street,sfbay_sfc,San Francisco,San Francisco,CA,San Francisco,marina / cow hollow
18972,"$3095 / 1br - 1/2 Month Free - Large Sunny 1BR - Roof Terrac, Court Yard, Dog Run ","QR Code Link to This Post
            
        
THE LOCATION
=================================================================
825 POST
Nestled between Nob Hill, Union Square, and the Tenderloin, the Lower Nob Hill neighborhood is a sought-after district. The neighborhood evokes both the elegance of Nob Hill and the hipness of the Tenderloin, and it is dotted with a mix of edgy art galleries, bohemian coffee shops, casual cocktail lounges, and hip eateries and is just minutes from Downtown/Financial District.
The building includes a Rooftop with an Amazing view on the city, a Courtyard, a Dog Run, Nice Lounge Seating Area. 
Walking Score: 99
Biking Score: 75
Transit Score: 100
THE APARTMENT
=================================================================
-Remodel Kitchen 
-Stainless Steel Appliances
-Granite Countertops
-Remodel Bathroom w/Tub
-Hardwood Flooring
-Walk-In Closet
-Natural Light
-Dog and Cat Friendly 
THE CONTACT
=================================================================
Elena Hamner | Leasing Agent
Mosser Companies
www.mosserco.com
Showing By Appointments Only
Ask me about our other studios, 1 and 2 bedrooms around the city
LEASE TERMS 
=================================================================
-Lease: 1 Year 
-Income: 2x Rent 
-Deposit: 1x Rent
-Utilities: None Included 
-Pets: $500 Pet Deposit, $75/m Dog, $50/m Cat
-Proof of Income: 2 Latest PayStubs or Offer Letter, Bank Statement
=================================================================
*DEPOSIT IQ BOND!!! (Security Deposit Alternative)
-Instead of doing a Security Deposit, pay a Non-Refundable IQ Bond instead
-Pay 25% - 55% of Rent
-Deposit IQ Bond is Non-Refundable!!!
=================================================================
**APPLICATION LINK ($35): https://www.on-site.com/apply/company/39428
*We do business in accordance with the Federal Fair Housing Law*
CaBRE #01341448",37.78725,-122.41535400000001,lower nob hill,2018-10-11 09:05:25,2018-10-14 15:34:35,3095.0,False,,1.0,1.0,both,shared,none,sfbay_sfc,San Francisco,San Francisco,CA,San Francisco,lower nob hill
18973,"$2795 / 1br - 1/2 Month Free - Pet Friendly 1BR in Lower Nob Hill, Rooftop, Dog Run ","QR Code Link to This Post
            
        
THE LOCATION
=================================================================
825 POST
Nestled between Nob Hill, Union Square, and the Tenderloin, the Lower Nob Hill neighborhood is a sought-after district. The neighborhood evokes both the elegance of Nob Hill and the hipness of the Tenderloin, and it is dotted with a mix of edgy art galleries, bohemian coffee shops, casual cocktail lounges, and hip eateries and is just minutes from Downtown/Financial District.
The building includes a Rooftop with an Amazing view on the city, a Courtyard, a Dog Run, Nice Lounge Seating Area. 
Walking Score: 99
Biking Score: 75
Transit Score: 100
THE APARTMENT
=================================================================
-Remodel Kitchen 
-Stainless Steel Appliances
-Granite Countertops
-Remodel Bathroom w/Tub
-Hardwood Flooring
-Walk-In Closet
-Natural Light
-Dog and Cat Friendly 
THE CONTACT
=================================================================
Elena Hamner | Leasing Agent
Mosser Companies
www.mosserco.com
Showing By Appointments Only
Ask me about our other studios, 1 and 2 bedrooms around the city
LEASE TERMS 
=================================================================
-Lease: 1 Year 
-Income: 2x Rent 
-Deposit: 1x Rent
-Utilities: None Included 
-Pets: $500 Pet Deposit, $75/m Dog, $50/m Cat
-Proof of Income: 2 Latest PayStubs or Offer Letter, Bank Statement
=================================================================
*DEPOSIT IQ BOND!!! (Security Deposit Alternative)
-Instead of doing a Security Deposit, pay a Non-Refundable IQ Bond instead
-Pay 25% - 55% of Rent
-Deposit IQ Bond is Non-Refundable!!!
=================================================================
**APPLICATION LINK ($35): https://www.on-site.com/apply/company/39428
*We do business in accordance with the Federal Fair Housing Law*
CaBRE #01341448",37.787335,-122.415376,lower nob hill,2018-10-02 23:55:28,2018-10-14 15:34:42,2795.0,False,,1.0,1.0,both,shared,none,sfbay_sfc,San Francisco,San Francisco,CA,San Francisco,lower nob hill
18974,"$2195 1/2 Month Free - STUDO WALK to FINANCIAL DISTRICT, BART, MUNI ","QR Code Link to This Post
            
        
THE LOCATION
=================================================================
48-50 Golden Gate is a gorgeous building where classic architecture mixes with sleek modern updates. The pet-friendly units feature well-appointed kitchen & baths including granite counters, sleek counters and stainless steel appliances including microwaves and dishwashers. Each studio & 1 Bedroom apartment contains hardwood floors, spacious closets and unique vintage details like bay windows and clawfoot bathtubs. The building has an elevator and onsite laundry. The bustling neighborhood borders Civic Center, and is steps away from the city's best arts & culture landmarks.
THE APARTMENT
=================================================================
-Remodel Kitchen w/Stainless Steel Appliances, Granite Countertops
-Remodel Bathroom 
-Harwood Floor
-Natural Light
-Laundry in Building
-Pet Friendly
-Walk to Financial District, Union Square, MUNI, SOMA
THE CONTACT
=================================================================
Elena Hamner | Leasing Agent
Mosser Companies 
www.mosserco.com
Showings By Appointment Only
Ask me about our other studios, 1 and 2 bedrooms around the city
LEASE TERMS 
=================================================================
-Lease: 1 Year 
-Income: 2x Rent 
-Deposit: 1x Rent 
-Utilities: None Included 
-Pets: $500 Pet Deposit, $75/m Dog, $50/m Cat
-Proof of Income: Pay Stubs, Offer Letter, 
=================================================================
*Ask about our Security Deposit Alternative 
-Instead of doing a Security Deposit pay a Non-Refundable Deposit IQ Bond
-Pay 27%-55% of Rent
-Deposit IQ Bond is Non-Refundable!!
=================================================================
**APPLICATION LINK ($35): https://www.on-site.com/apply/company/39428
*We do business in accordance with the Federal Fair Housing Law*
CaBRE #01341448",37.782383,-122.41134199999999,tenderloin,2018-09-11 16:04:41,2018-10-11 08:53:32,2195.0,False,,0.0,1.0,both,in-unit,none,sfbay_sfc,San Francisco,San Francisco,CA,San Francisco,tenderloin
18975,$2500 / 1br - 1 bath-convenient location ,"QR Code Link to This Post
            
        
1 bedroom/1 bath apartment located in a convenient area. Close proximity to shopping center (Safeway, 24 HR Fitness), Trader Joe's, restaurants, etc. 10-15 minute bus ride to financial district.
Apartment features:
-Hardwood floors, gas stove, refrigerator, granite countertop, coin operated washer/dryer in garage.
All utilities included except phone cable TV, internet and garage parking.
Conditions:
-No pets, no smokers.
Terms:
-The unit is now available for viewing. Move in: $8,100 (First, last month's rent plus one month rent as security deposit).
Lease term: 12 months.
Please call or text Kerry at  show contact info
 to setup an appointment to view apartment.
Fees paid by applicant: Credit report.",37.805932,-122.418718,russian hill,2018-10-14 10:45:31,,2500.0,False,,1.0,1.0,none,shared,street,sfbay_sfc,San Francisco,San Francisco,CA,San Francisco,russian hill
18976,$3000 / 1br - 1 bathroom apartment- #307 ,"QR Code Link to This Post
            
        
One bedroom, one bath unit, carpet, blinds, self-cleaning oven, hood with fan, dishwasher, garbage disposal, refrigerator, elevator, roof deck (for all tenants), coin-operated laundry facility on site.  One parking space included below building. Parking is enclosed but no storage available.  Owner pays water and garbage.  Sorry no pets.
This apartment unit is available now. Security deposit $3000. One year lease required. 
To view apartment, contact Resident Manager, Donald Maalona, at  show contact info
.",37.793827,-122.43097900000001,pacific heights,2018-10-09 23:23:41,2018-10-14 19:10:37,3000.0,False,,1.0,1.0,none,shared,garage,sfbay_sfc,San Francisco,San Francisco,CA,San Francisco,pacific heights
18977,$1370 1 bd Available in 3bd/2ba Spacious Apt! ,"QR Code Link to This Post
            
        
Hi! We have a bedroom with a shared bath available in our 3 bedroom Outer Richmond Apartment. We are located at 25th and Clement, only a short walk to Baker Beach, restaurants, and shops. Location has easy bus access to downtown as well.
About the place: Spacious apartment with huge open living room, big kitchen, and dining room. Place has dishwasher and shared laundry in the building. Room available has a large closet and shares a bathroom with only one other roommate. Utilities run about $75 per month.
About us: We are in our late 20's working full time. One works as a buyer for Wal-mart and the other is an attorney in Marin County. We are typically home on weeknights cooking and catching up on TV with a glass of wine. 
About you: We are looking for someone with a similar 8am to 5pm work schedule who doesn't smoke and is comfortable keeping things low-key on weeknights. Must also be gay-friendly. Unfortunately no pets allowed.
If you think you would be a good fit, please email us with a little about yourself! We are looking to fill the room by October 15th but end of October is also an option for the right person.",37.782025,-122.484874,richmond / seacliff,2018-10-08 15:35:39,2018-10-14 12:36:16,1370.0,False,,,,none,shared,street,sfbay_sfc,San Francisco,San Francisco,CA,San Francisco,richmond / seacliff
18980,$3600 / 1br - 810ft2 - 1 bdrm/1 bath unit for rent in Hayes Valley ,"QR Code Link to This Post
            
        
We have a 1 bedroom 1 bath apartment available for rent!
**NOTE: Pictures on this ad are not the actual unit but a similar unit in the same building.**
Key features are:
• Living areas with open plan - 810 sq. ft.
• Third floor unit with hardwood in living/dining room and carpet in bedroom
• Kitchen with wood cabinets and granite counter-top and stainless steel sink with garbage disposal. Stainless steel refrigerator, dishwasher, gas stove and microwave. Opens out to the living room/dining room with a breakfast bar
• Plenty of closet space in the bedroom
• Large double-paned windows 
• Individual water heater and heating system in each unit
• Shared, landscaped courtyard with barbeque grill
• On-site coin laundry
• Bicycle storage room
• 1 year lease 
• Water and garbage included
• Elevator onsite
• Secured underground parking available for an additional $250-300 per month 
• A 33-unit modern apartment building with onsite manager
• Centrally located in the heart of Hayes Valley
• Close proximity to 101/280 freeway entrances/exits
• Walking distance to the New Conservatory Theatre Center, SF Ballet, SF Opera & new Jazz Center, SF Symphony as well as to BART & MUNI
• One block away from fabulous Hayes Street shops, restaurants, bars, and Octavia park
Available for showing now. If interested, please email me for viewing information. Current credit report will be required when applying. Thank you!",37.776125,-122.422307,hayes valley,2018-09-18 09:39:14,2018-10-15 09:25:59,3600.0,False,810.0,1.0,1.0,none,shared,garage,sfbay_sfc,San Francisco,San Francisco,CA,San Francisco,hayes valley
18981,$1800 / 3br - 1 bdrm in 3bd/2ba -- North Beach Apartment ,"QR Code Link to This Post
            
        
Room opening up in a 3 bedroom, 2 bathroom North Beach apartment. Available immediately. $1800 per month + utilities. Bathroom is shared with 1 guy. Lease is month-to-month. 
Apartment Details:
Amazing roof deck with 360 views, grill and seating
Very large living room/common room area (shockingly big for SF)
Huge, super comfortable couch + 60 inch TV
In-unit washer and dryer
Dishwasher
Ample closet space
Working fireplace
Sink disposal
Fully furnished living spaces (besides the bedroom)
Elevator in building
Neighborhood (THE BEST):
Walking distance to all of the North Beach bars & restaurants
1 minute walk from Trader Joe's & Safeway
1 minute walk from Joe Dimaggio park
5 minute walk from Washington Square Park
About Us:
1 couple, 1 guy (previous tenant was a boy, if you've seen The New Girl, it's like that)
All late 20s, all in tech
Clean, easy going, social
Likes: dogs (we don't have one but dog sit friend dogs whenever we can), roof parties, concerts, lazy Sundays at Washington Square Park, lighting a fire and watching Harry Potter movies, binge watching Anthony Bourdain, roomie dinners
Ideal Roommate:
Guy or girl (has to be cool with sharing a bathroom with a guy)
Late 20s - early 30s
non-smoker
The charm of this apartment is in the communal space. The room is nice (normal sized, decent closet, window) but you'll get the most out of your money by spending time outside of it. We don't bite. :)
Please respond back via email if interested with a blurb on yourself and social media links (LinkedIn, Facebook)",37.803761,-122.413223,north beach / telegraph hill,2018-10-11 12:54:11,2018-10-14 15:04:11,1800.0,False,,3.0,2.0,,in-unit,none,sfbay_sfc,San Francisco,San Francisco,CA,San Francisco,north beach / telegraph hill
18983,$3600 / 1br - 650ft2 - 1 Bed/1 Bath Apartment in Soma ,"QR Code Link to This Post
            
        
Great apartment in Soma!
- 1 garage parking spot included
- High speed internet included 
- Utilities included
- Washer/dryer in unit
- ""Like new"" appliances w/ gas stove/oven
- 1/2 block away from Whole Foods
- Close to CalTrain (King St.), BART (Powell St.), and easy access to Bay Bridge
- Available 11/1",37.7798,-122.401422,SOMA / south beach,2018-10-15 07:52:23,,3600.0,False,650.0,1.0,1.0,none,in-unit,covered,sfbay_sfc,San Francisco,San Francisco,CA,San Francisco,SOMA / south beach
18985,$3195 / 1br - 1500ft2 - 1 Bed 1 Bath In-law unit in San Francisco | 1423 Thomas Avenue ,"QR Code Link to This Post
            
        
Some highlights: 
New kitchen granite countertops and hardwood floors 
Office space 
Large living room 
Open concept 
Lots natural lighting 
Double panel closet mirror doors 
Large deck 
Great location! 
2 blocks away from the t line 
2 blocks away from the library 
Close to Walgreens and the ymca 
No pets allowed 
Tenant pays for Gas, Electric, Water 
Garbage, Gardening provided by owner 
...A perfect place to make your new home!",37.728532,-122.38797,San Francisco,2018-10-15 11:41:55,,3195.0,False,1500.0,1.0,1.0,none,none,none,sfbay_sfc,San Francisco,San Francisco,CA,San Francisco,San Francisco
